,0,1,2
207,19.517006,11.068138,0.5853854
208,19.566195,11.100744,0.6145081
209,19.612873,11.133683,0.645236
210,19.657068,11.16695,0.6776365
211,19.69881,11.200542,0.7117695
212,19.738125,11.234455,0.7476845
213,19.77504,11.268686,0.785417
214,19.809584,11.303231,0.82498467
215,19.841784,11.338086,0.8663829
216,19.871666,11.373247,0.9095805
217,19.89926,11.408712,0.954516
218,19.924591,11.444476,1.0010935
219,19.94769,11.4805355,1.049181
220,19.96858,11.516887,1.0986087
221,19.987293,11.553527,1.1491708
222,20.003855,11.590451,1.2006273
223,20.018293,11.627658,1.2527108
224,20.030634,11.66514,1.305133
225,20.040909,11.702897,1.3575937
226,20.04914,11.740925,1.4097914
227,20.05536,11.779218,1.4614326
228,20.059593,11.817775,1.5122422
229,20.061869,11.85659,1.5619705
230,20.062214,11.89566,1.6104
231,20.060656,11.934983,1.6573486
232,20.057222,11.974555,1.7026722
233,20.05194,12.01437,1.746263
234,20.04484,12.054427,1.7880484
235,20.035944,12.094721,1.8279877
236,20.025286,12.135248,1.8660679
237,20.012888,12.176005,1.9022996
238,19.998781,12.2169895,1.936713
239,19.982992,12.258196,1.969353
240,19.96555,12.299621,2.0002763
241,19.946478,12.341262,2.0295484
242,19.925806,12.383114,2.0572393
243,19.903564,12.425175,2.083423
244,19.879776,12.46744,2.1081746
245,19.854473,12.509905,2.1315691
246,19.827679,12.552568,2.153681
247,19.799425,12.595425,2.1745815
248,19.769735,12.638471,2.1943405
249,19.73864,12.681703,2.2130241
250,19.706165,12.725118,2.2306952
251,19.672338,12.768711,2.247414
252,19.637188,12.81248,2.2632365
253,19.600742,12.8564205,2.278216
254,19.563026,12.900529,2.2924016
255,19.52407,12.944801,2.30584
256,19.483902,12.989234,2.318575
257,19.442547,13.033824,2.3306465
258,19.400032,13.0785675,2.3420925
259,19.356388,13.123461,2.3529484
260,19.311642,13.1685,2.3632467
261,19.265818,13.213681,2.3730178
262,19.218946,13.259002,2.38229
263,19.171055,13.304457,2.3910897
264,19.12217,13.350043,2.3994417
265,19.07232,13.395758,2.4073684
266,19.021532,13.441596,2.4148912
267,18.969835,13.4875555,2.42203
268,18.917255,13.533631,2.4288027
269,18.86382,13.57982,2.4352267
